start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,rat_present_at_landing,rat_present_30s
2018-10-02 00:49:00,2.0,rat,2018-10-02 00:49:00,2018-10-02 00:51:00,56,1,0,2,9/02/2018 17:21,7.4825,0,0,0
2018-10-02 00:50:00,0.041390374,fast,2018-10-02 00:49:00,2018-10-02 00:51:00,65,0,1,2,9/02/2018 17:21,7.485,0,0,0
2018-10-02 00:50:00,0.090143902,rat,2018-10-02 00:49:00,2018-10-02 00:51:00,81,1,0,2,9/02/2018 17:21,7.489444444,0,0,0
2018-10-02 00:50:00,20.0,both,2018-10-02 00:49:00,2018-10-02 00:51:00,102,0,0,2,9/02/2018 17:21,7.495277778,0,0,0
2018-10-02 00:51:00,2.0,rat,2018-10-02 00:49:00,2018-10-02 00:51:00,149,1,0,2,9/02/2018 17:21,7.508333333,0,0,0
2018-10-02 00:44:00,7.0,bat,2018-10-02 00:43:00,2018-10-02 00:45:00,61,1,0,2,9/02/2018 17:21,7.386111111,0,0,0
2018-10-02 00:44:00,21.0,pick_bat,2018-10-02 00:43:00,2018-10-02 00:45:00,65,1,1,2,9/02/2018 17:21,7.387222222,0,0,0
2018-10-02 00:44:00,4.0,pick,2018-10-02 00:43:00,2018-10-02 00:45:00,68,0,1,2,9/02/2018 17:21,7.388055556,0,0,0
2018-10-02 00:44:00,2.0,pick,2018-10-02 00:43:00,2018-10-02 00:45:00,80,0,1,2,9/02/2018 17:21,7.391388889,0,0,0
2018-07-02 18:11:00,7.0,"94.0,305.0,239.0,416.0; 364.8,139.3,462.3,241.3",2018-07-02 18:11:00,2018-07-02 18:11:00,10,0,0,2,7/02/2018 17:19,0.8775,0,0,1
2018-07-02 18:32:00,1.0,rat,2018-07-02 18:29:00,2018-07-02 18:44:00,166,1,0,2,7/02/2018 17:19,1.225277778,0,0,0
2018-07-02 22:58:00,14.0,pick,2018-07-02 22:53:00,2018-07-02 22:58:00,299,0,1,2,7/02/2018 17:19,5.661944444,0,0,0
2018-08-02 01:47:00,8.0,rat attack,2018-08-02 01:47:00,2018-08-02 01:48:00,7,1,0,2,7/02/2018 17:19,8.481666667,0,0,1
